Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-03-05 09:30,Exit,71.01,137,10000.0,-241.39,-2.42,7.26,0.07,-408.53,-4.1,-241.39,-2.41
1,Entry long,2024-03-04 11:15,Long,72.77,137,10000.0,-241.39,-2.42,7.26,0.07,-408.53,-4.1,-241.39,-2.41
2,Exit long,2024-03-20 08:45,Exit,71.75,136,9758.61,9.75,0.1,301.92,3.1,-32.3,-0.33,-231.65,-2.32
2,Entry long,2024-03-19 14:30,Long,71.68,136,9758.61,9.75,0.1,301.92,3.1,-32.3,-0.33,-231.65,-2.32
3,Exit long,2024-03-27 08:45,Exit,73.16,128,9768.35,-350.94,-3.61,183.77,1.89,-422.27,-4.35,-582.59,-5.83
3,Entry long,2024-03-21 10:15,Long,75.9,128,9768.35,-350.94,-3.61,183.77,1.89,-422.27,-4.35,-582.59,-5.83
4,Exit long,2024-04-02 08:30,Exit,72.42,126,9417.41,-254.65,-2.71,84.11,0.9,-331.38,-3.53,-837.23,-8.37
4,Entry long,2024-04-01 12:15,Long,74.44,126,9417.41,-254.65,-2.71,84.11,0.9,-331.38,-3.53,-837.23,-8.37
5,Exit long,2024-04-03 14:00,Exit,74.53,126,9162.77,228.6,2.5,335.16,3.66,-78.44,-0.86,-608.64,-6.09
5,Entry long,2024-04-02 15:00,Long,72.71,126,9162.77,228.6,2.5,335.16,3.66,-78.44,-0.86,-608.64,-6.09
6,Exit long,2024-04-10 08:00,Exit,71.51,126,9391.36,-314.47,-3.37,125.06,1.34,-326.34,-3.5,-923.11,-9.23
6,Entry long,2024-04-05 10:30,Long,74.0,126,9391.36,-314.47,-3.37,125.06,1.34,-326.34,-3.5,-923.11,-9.23
7,Exit long,2024-04-12 07:00,Exit,71.07,123,9076.89,-284.25,-3.15,127.0,1.41,-308.73,-3.42,-1207.36,-12.07
7,Entry long,2024-04-11 10:30,Long,73.39,123,9076.89,-284.25,-3.15,127.0,1.41,-308.73,-3.42,-1207.36,-12.07
8,Exit long,2024-05-07 15:00,Exit,67.44,126,8792.64,-276.6,-3.15,151.52,1.73,-501.77,-5.72,-1483.95,-14.84
8,Entry long,2024-05-06 10:15,Long,69.64,126,8792.64,-276.6,-3.15,151.52,1.73,-501.77,-5.72,-1483.95,-14.84
9,Exit long,2024-05-16 08:30,Exit,81.6,108,8516.05,372.19,4.41,468.72,5.55,-27.54,-0.33,-1111.77,-11.12
9,Entry long,2024-05-14 14:30,Long,78.16,108,8516.05,372.19,4.41,468.72,5.55,-27.54,-0.33,-1111.77,-11.12
10,Exit long,2024-05-22 17:00,Exit,78.66,110,8888.23,-172.35,-1.95,12.38,0.14,-272.25,-3.09,-1284.12,-12.84
10,Entry long,2024-05-22 10:15,Long,80.22,110,8888.23,-172.35,-1.95,12.38,0.14,-272.25,-3.09,-1284.12,-12.84
11,Exit long,2024-06-12 08:30,Exit,76.79,117,8715.88,315.32,3.64,430.56,4.97,-157.07,-1.81,-968.8,-9.69
11,Entry long,2024-06-03 15:00,Long,74.1,117,8715.88,315.32,3.64,430.56,4.97,-157.07,-1.81,-968.8,-9.69
12,Exit long,2024-06-28 07:00,Exit,88.61,108,9031.2,573.91,6.38,573.91,6.38,-31.28,-0.35,-394.89,-3.95
12,Entry long,2024-06-25 10:15,Long,83.29,108,9031.2,573.91,6.38,573.91,6.38,-31.28,-0.35,-394.89,-3.95
13,Exit long,2024-07-05 08:45,Exit,90.34,106,9605.11,9.57,0.1,191.45,2.0,0.0,0.0,-385.32,-3.85
13,Entry long,2024-07-03 10:15,Long,90.24,106,9605.11,9.57,0.1,191.45,2.0,0.0,0.0,-385.32,-3.85
14,Exit long,2024-07-23 08:30,Exit,85.29,115,9614.68,234.75,2.45,316.25,3.3,-100.34,-1.05,-150.57,-1.51
14,Entry long,2024-07-18 15:15,Long,83.25,115,9614.68,234.75,2.45,316.25,3.3,-100.34,-1.05,-150.57,-1.51
15,Exit long,2024-08-07 13:15,Exit,79.05,118,9849.43,-472.28,-4.82,2.81,0.03,-486.16,-4.96,-622.85,-6.23
15,Entry long,2024-08-07 10:15,Long,83.05,118,9849.43,-472.28,-4.82,2.81,0.03,-486.16,-4.96,-622.85,-6.23
16,Exit long,2024-08-16 07:15,Exit,87.68,106,9377.15,-4.24,-0.05,210.15,2.26,-115.81,-1.25,-627.09,-6.27
16,Entry long,2024-08-14 10:45,Long,87.72,106,9377.15,-4.24,-0.05,210.15,2.26,-115.81,-1.25,-627.09,-6.27
17,Exit long,2024-08-26 08:45,Exit,88.1,106,9372.91,9.33,0.1,203.78,2.18,-64.67,-0.69,-617.76,-6.18
17,Entry long,2024-08-19 15:00,Long,88.02,106,9372.91,9.33,0.1,203.78,2.18,-64.67,-0.69,-617.76,-6.18
18,Exit long,2024-09-20 08:00,Exit,94.26,102,9382.24,287.51,3.08,385.17,4.13,-110.8,-1.19,-330.25,-3.3
18,Entry long,2024-09-18 14:00,Long,91.44,102,9382.24,287.51,3.08,385.17,4.13,-110.8,-1.19,-330.25,-3.3
19,Exit long,2024-09-26 08:15,Exit,98.25,100,9669.75,241.19,2.52,312.49,3.26,-98.81,-1.03,-89.06,-0.89
19,Entry long,2024-09-20 14:00,Long,95.84,100,9669.75,241.19,2.52,312.49,3.26,-98.81,-1.03,-89.06,-0.89
20,Exit long,2024-10-01 08:30,Exit,95.79,103,9910.94,9.86,0.1,207.29,2.1,-101.97,-1.03,-79.21,-0.79
20,Entry long,2024-09-30 10:15,Long,95.7,103,9910.94,9.86,0.1,207.29,2.1,-101.97,-1.03,-79.21,-0.79
21,Exit long,2024-10-04 08:45,Exit,97.56,101,9920.79,9.84,0.1,207.4,2.11,-59.34,-0.6,-69.36,-0.69
21,Entry long,2024-10-02 13:00,Long,97.46,101,9920.79,9.84,0.1,207.4,2.11,-59.34,-0.6,-69.36,-0.69
22,Exit long,2024-10-14 09:00,Exit,104.81,99,9930.64,455.16,4.59,541.28,5.46,-117.32,-1.18,385.79,3.86
22,Entry long,2024-10-08 11:00,Long,100.22,99,9930.64,455.16,4.59,541.28,5.46,-117.32,-1.18,385.79,3.86
23,Exit long,2024-10-22 09:30,Exit,99.09,102,10385.79,-251.92,-2.43,51.76,0.5,-297.33,-2.87,133.87,1.34
23,Entry long,2024-10-21 10:45,Long,101.56,102,10385.79,-251.92,-2.43,51.76,0.5,-297.33,-2.87,133.87,1.34
24,Exit long,2024-11-06 07:30,Exit,103.0,100,10133.87,222.25,2.21,372.25,3.69,-18.0,-0.18,356.12,3.56
24,Entry long,2024-11-05 11:15,Long,100.78,100,10133.87,222.25,2.21,372.25,3.69,-18.0,-0.18,356.12,3.56
25,Exit long,2024-11-07 16:00,Exit,114.22,96,10356.12,620.67,6.0,1003.68,9.7,-718.08,-6.94,976.79,9.77
25,Entry long,2024-11-07 16:00,Long,107.76,96,10356.12,620.67,6.0,1003.68,9.7,-718.08,-6.94,976.79,9.77
26,Exit long,2024-11-25 12:00,Exit,99.61,108,10976.79,-217.0,-1.98,169.29,1.54,-236.52,-2.16,759.79,7.6
26,Entry long,2024-11-22 16:00,Long,101.62,108,10976.79,-217.0,-1.98,169.29,1.54,-236.52,-2.16,759.79,7.6
27,Exit long,2024-12-02 15:00,Exit,102.71,106,10759.79,226.09,2.12,382.92,3.59,-16.69,-0.16,985.88,9.86
27,Entry long,2024-11-27 16:00,Long,100.57,106,10759.79,226.09,2.12,382.92,3.59,-16.69,-0.16,985.88,9.86
28,Exit long,2024-12-06 13:30,Exit,108.97,102,10985.88,180.84,1.65,361.08,3.3,-521.22,-4.77,1166.72,11.67
28,Entry long,2024-12-04 10:15,Long,107.2,102,10985.88,180.84,1.65,361.08,3.3,-521.22,-4.77,1166.72,11.67
29,Exit long,2024-12-13 08:00,Exit,109.01,104,11166.72,177.84,1.59,536.61,4.81,-323.44,-2.9,1344.56,13.45
29,Entry long,2024-12-10 10:45,Long,107.3,104,11166.72,177.84,1.59,536.61,4.81,-323.44,-2.9,1344.56,13.45
30,Exit long,2024-12-16 10:15,Exit,114.4,101,11344.56,215.85,1.9,381.78,3.37,-25.25,-0.22,1560.41,15.6
30,Entry long,2024-12-13 14:30,Long,112.26,101,11344.56,215.85,1.9,381.78,3.37,-25.25,-0.22,1560.41,15.6
31,Exit long,2024-12-17 10:00,Exit,113.35,99,11560.41,-314.85,-2.73,46.53,0.4,-337.59,-2.93,1245.56,12.46
31,Entry long,2024-12-16 16:00,Long,116.53,99,11560.41,-314.85,-2.73,46.53,0.4,-337.59,-2.93,1245.56,12.46
32,Exit long,2024-12-20 13:15,Exit,112.58,102,11245.56,258.73,2.31,444.72,3.96,-7.14,-0.06,1504.29,15.04
32,Entry long,2024-12-20 10:15,Long,110.04,102,11245.56,258.73,2.31,444.72,3.96,-7.14,-0.06,1504.29,15.04
33,Exit long,2024-12-30 07:45,Exit,111.57,100,11504.29,-260.0,-2.28,90.0,0.79,-260.0,-2.28,1244.29,12.44
33,Entry long,2024-12-24 11:45,Long,114.17,100,11504.29,-260.0,-2.28,90.0,0.79,-260.0,-2.28,1244.29,12.44
34,Exit long,2025-01-06 08:00,Exit,117.25,98,11244.29,344.75,3.09,515.48,4.62,-54.88,-0.49,1589.04,15.89
34,Entry long,2025-01-03 10:45,Long,113.73,98,11244.29,344.75,3.09,515.48,4.62,-54.88,-0.49,1589.04,15.89
35,Exit long,2025-01-16 16:00,Exit,117.87,101,11589.04,323.89,2.8,528.23,4.56,-189.88,-1.64,1912.94,19.13
35,Entry long,2025-01-14 10:45,Long,114.66,101,11589.04,323.89,2.8,528.23,4.56,-189.88,-1.64,1912.94,19.13
36,Exit long,2025-01-22 08:30,Exit,126.98,99,11912.94,711.59,6.0,728.1,6.14,-45.09,-0.38,2624.52,26.25
36,Entry long,2025-01-17 10:45,Long,119.8,99,11912.94,711.59,6.0,728.1,6.14,-45.09,-0.38,2624.52,26.25
37,Exit long,2025-02-06 09:15,Exit,116.5,111,12624.52,328.03,2.6,427.35,3.39,-499.5,-3.96,2952.55,29.53
37,Entry long,2025-02-03 10:45,Long,113.54,111,12624.52,328.03,2.6,427.35,3.39,-499.5,-3.96,2952.55,29.53
38,Exit long,2025-05-06 15:00,Exit,96.46,142,12952.55,775.32,6.0,781.0,6.04,-140.65,-1.09,3727.87,37.28
38,Entry long,2025-05-06 11:15,Long,91.0,142,12952.55,775.32,6.0,781.0,6.04,-140.65,-1.09,3727.87,37.28
39,Exit long,2025-06-20 08:45,Exit,88.67,150,13727.87,-347.98,-2.55,72.57,0.53,-501.0,-3.67,3379.89,33.8
39,Entry long,2025-06-18 10:15,Long,90.99,150,13727.87,-347.98,-2.55,72.57,0.53,-501.0,-3.67,3379.89,33.8
40,Exit long,2025-06-26 09:00,Exit,100.62,140,13379.89,797.33,6.0,872.9,6.57,-86.8,-0.65,4177.22,41.77
40,Entry long,2025-06-24 14:45,Long,94.92,140,13379.89,797.33,6.0,872.9,6.57,-86.8,-0.65,4177.22,41.77
41,Exit long,2025-07-01 09:15,Exit,99.62,138,14177.22,-372.24,-2.64,112.73,0.8,-380.19,-2.69,3804.98,38.05
41,Entry long,2025-06-30 10:15,Long,102.32,138,14177.22,-372.24,-2.64,112.73,0.8,-380.19,-2.69,3804.98,38.05
42,Exit long,2025-07-11 12:30,Exit,107.74,130,13804.98,288.2,2.1,510.9,3.72,-369.51,-2.69,4093.18,40.93
42,Entry long,2025-07-09 10:45,Long,105.52,130,13804.98,288.2,2.1,510.9,3.72,-369.51,-2.69,4093.18,40.93
43,Exit long,2025-07-28 15:15,Exit,117.01,124,14093.18,526.9,3.77,644.8,4.61,-109.12,-0.78,4620.08,46.2
43,Entry long,2025-07-23 10:15,Long,112.76,124,14093.18,526.9,3.77,644.8,4.61,-109.12,-0.78,4620.08,46.2
44,Exit long,2025-08-13 09:00,Exit,139.42,104,14620.08,14.49,0.1,328.64,2.27,-289.07,-2.0,4634.57,46.35
44,Entry long,2025-08-07 15:00,Long,139.28,104,14620.08,14.49,0.1,328.64,2.27,-289.07,-2.0,4634.57,46.35
45,Exit long,2025-08-22 11:15,Exit,131.6,111,14634.57,14.59,0.1,391.83,2.69,-290.82,-1.99,4649.16,46.49
45,Entry long,2025-08-20 15:00,Long,131.47,111,14634.57,14.59,0.1,391.83,2.69,-290.82,-1.99,4649.16,46.49
46,Exit long,2025-09-02 05:30,Exit,133.11,107,14649.16,-368.2,-2.52,0.0,0.0,-379.85,-2.6,4280.96,42.81
46,Entry long,2025-08-29 15:00,Long,136.55,107,14649.16,-368.2,-2.52,0.0,0.0,-379.85,-2.6,4280.96,42.81
47,Exit long,2025-09-09 17:15,Exit,149.38,101,14280.96,853.99,6.0,866.25,6.09,0.0,0.0,5134.95,51.35
47,Entry long,2025-09-09 15:15,Long,140.92,101,14280.96,853.99,6.0,866.25,6.09,0.0,0.0,5134.95,51.35
48,Exit long,2025-09-11 10:15,Exit,153.19,100,15134.95,203.73,1.35,516.5,3.42,-184.5,-1.22,5338.68,53.39
48,Entry long,2025-09-10 11:45,Long,151.16,100,15134.95,203.73,1.35,516.5,3.42,-184.5,-1.22,5338.68,53.39
49,Exit long,2025-09-11 18:45,Exit,154.11,99,15338.68,15.24,0.1,338.2,2.22,-94.41,-0.62,5353.92,53.54
49,Entry long,2025-09-11 15:15,Long,153.95,99,15338.68,15.24,0.1,338.2,2.22,-94.41,-0.62,5353.92,53.54
50,Exit long,2025-09-22 12:15,Exit,146.13,102,15353.92,-355.47,-2.33,62.22,0.41,-361.08,-2.37,4998.46,49.98
50,Entry long,2025-09-19 15:00,Long,149.61,102,15353.92,-355.47,-2.33,62.22,0.41,-361.08,-2.37,4998.46,49.98
51,Exit long,2025-10-06 14:00,Exit,150.56,100,14998.46,206.18,1.39,523.0,3.52,-348.0,-2.34,5204.63,52.05
51,Entry long,2025-10-03 10:15,Long,148.5,100,14998.46,206.18,1.39,523.0,3.52,-348.0,-2.34,5204.63,52.05
52,Exit long,2025-10-17 03:00,Exit,141.0,103,15204.63,-671.04,-4.42,9.27,0.06,-682.89,-4.49,4533.6,45.34
52,Entry long,2025-10-16 12:30,Long,147.51,103,15204.63,-671.04,-4.42,9.27,0.06,-682.89,-4.49,4533.6,45.34
53,Exit long,2025-10-30 04:45,Exit,163.19,91,14533.6,425.79,2.95,864.41,5.99,-169.35,-1.17,4959.38,49.59
53,Entry long,2025-10-28 14:15,Long,158.51,91,14533.6,425.79,2.95,864.41,5.99,-169.35,-1.17,4959.38,49.59
54,Exit long,2025-11-04 16:00,Exit,149.72,95,14959.38,-682.45,-4.58,1.9,0.01,-2291.4,-15.37,4276.93,42.77
54,Entry long,2025-11-04 10:30,Long,156.9,95,14959.38,-682.45,-4.58,1.9,0.01,-2291.4,-15.37,4276.93,42.77
55,Exit long,2026-01-02 11:45,Exit,133.29,107,14276.93,14.25,0.1,314.05,2.2,-271.24,-1.9,4291.18,42.91
55,Entry long,2025-12-29 11:00,Long,133.16,107,14276.93,14.25,0.1,314.05,2.2,-271.24,-1.9,4291.18,42.91
56,Exit long,2026-01-28 08:00,Exit,150.96,97,14291.18,394.2,2.77,596.65,4.19,-79.05,-0.55,4685.37,46.85
56,Entry long,2026-01-27 10:15,Long,146.9,97,14291.18,394.2,2.77,596.65,4.19,-79.05,-0.55,4685.37,46.85
